7.0413 	WARNING 	Monitor specification not found. Creating a temporary one...
7.6321 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='#bfbfbf', colorSpace='hex', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1138d4910>, name='window1', pos=[440, 225], screen=0, size=array([800, 600]), stereo=False, units='pix', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.7203 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-200.,    0.]), rgb=array([ 0.,  0.,  0.]), text=u'50% chance of winning CHF 600', units='pix', win=Window(...), wrapWidth=500)
7.7250 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 200.,    0.]), rgb=array([ 0.,  0.,  0.]), text=u'Hello World', units='pix', win=Window(...), wrapWidth=500)
7.7272 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='pix', win=Window(...), wrapWidth=500)
7.7478 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 1'
7.7478 	EXP 	fixation_cross onset
8.7653 	EXP 	fixation_cross offset
8.7653 	EXP 	gamble_choice onset
9.8205 	DATA 	Keypress: p
9.8479 	EXP 	gamble_choice offset
9.8479 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 30'
9.8479 	EXP 	fixation_cross onset
10.8489 	EXP 	fixation_cross offset
10.8489 	EXP 	gamble_choice onset
11.9830 	DATA 	Keypress: q
11.9983 	EXP 	gamble_choice offset
11.9983 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 60'
11.9983 	EXP 	fixation_cross onset
12.9989 	EXP 	fixation_cross offset
12.9989 	EXP 	gamble_choice onset
14.5680 	DATA 	Keypress: p
14.5988 	EXP 	gamble_choice offset
14.5988 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 90'
14.5988 	EXP 	fixation_cross onset
15.5988 	EXP 	fixation_cross offset
15.5988 	EXP 	gamble_choice onset
16.6189 	DATA 	Keypress: q
16.6484 	EXP 	gamble_choice offset
16.6484 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 120'
16.6484 	EXP 	fixation_cross onset
17.6488 	EXP 	fixation_cross offset
17.6488 	EXP 	gamble_choice onset
18.5335 	DATA 	Keypress: p
18.5483 	EXP 	gamble_choice offset
18.5483 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 150'
18.5483 	EXP 	fixation_cross onset
19.5483 	EXP 	fixation_cross offset
19.5483 	EXP 	gamble_choice onset
24.5651 	EXP 	gamble_choice offset
24.5651 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 180'
24.5651 	EXP 	fixation_cross onset
25.5652 	EXP 	fixation_cross offset
25.5652 	EXP 	gamble_choice onset
26.0181 	DATA 	Keypress: q
26.0484 	EXP 	gamble_choice offset
26.0484 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 210'
