,accuracy,block,category,choice,correct_response,difficulty,image,rt,trial,participant,gender,age,hand,expName,date
0,1.0,learning,A,a,a,easy,patch1.png,1.05772590637,1.0,1,female,25,right,example_3,2019_Dec_04_1147
1,1.0,learning,A,a,a,easy,patch2.png,0.57523393631,2.0,1,female,25,right,example_3,2019_Dec_04_1147
2,1.0,learning,A,a,a,easy,patch4.png,0.952626943588,3.0,1,female,25,right,example_3,2019_Dec_04_1147
3,1.0,learning,B,b,b,easy,patch20.png,0.719610929489,4.0,1,female,25,right,example_3,2019_Dec_04_1147
4,0.0,learning,A,b,a,easy,patch5.png,0.723367929459,5.0,1,female,25,right,example_3,2019_Dec_04_1147
5,1.0,learning,B,b,b,easy,patch18.png,0.552800893784,6.0,1,female,25,right,example_3,2019_Dec_04_1147
6,1.0,learning,B,b,b,easy,patch19.png,0.643273830414,7.0,1,female,25,right,example_3,2019_Dec_04_1147
7,1.0,learning,A,a,a,easy,patch3.png,0.686403989792,8.0,1,female,25,right,example_3,2019_Dec_04_1147
8,1.0,learning,B,b,b,easy,patch16.png,0.8195540905,9.0,1,female,25,right,example_3,2019_Dec_04_1147
9,1.0,learning,B,b,b,easy,patch17.png,0.672753810883,10.0,1,female,25,right,example_3,2019_Dec_04_1147
10,1.0,learning,B,b,b,medium,patch22.png,0.653205871582,11.0,1,female,25,right,example_3,2019_Dec_04_1147
11,0.0,learning,A,b,a,medium,patch10.png,1.97229194641,12.0,1,female,25,right,example_3,2019_Dec_04_1147
12,1.0,learning,B,b,b,medium,patch24.png,0.669132947922,13.0,1,female,25,right,example_3,2019_Dec_04_1147
13,1.0,learning,B,b,b,medium,patch25.png,0.606523036957,14.0,1,female,25,right,example_3,2019_Dec_04_1147
14,1.0,learning,B,b,b,medium,patch23.png,0.569131135941,15.0,1,female,25,right,example_3,2019_Dec_04_1147
15,0.0,learning,A,b,a,medium,patch8.png,0.407649993896,16.0,1,female,25,right,example_3,2019_Dec_04_1147
16,1.0,learning,A,a,a,medium,patch9.png,0.802411079407,17.0,1,female,25,right,example_3,2019_Dec_04_1147
17,1.0,learning,A,a,a,medium,patch7.png,0.406240940094,18.0,1,female,25,right,example_3,2019_Dec_04_1147
18,1.0,learning,B,b,b,medium,patch21.png,1.00177383423,19.0,1,female,25,right,example_3,2019_Dec_04_1147
19,1.0,learning,A,a,a,medium,patch6.png,0.61757516861,20.0,1,female,25,right,example_3,2019_Dec_04_1147
20,1.0,learning,B,b,b,hard,patch26.png,0.68638086319,21.0,1,female,25,right,example_3,2019_Dec_04_1147
21,0.0,learning,A,b,a,hard,patch11.png,0.690342187881,22.0,1,female,25,right,example_3,2019_Dec_04_1147
22,1.0,learning,B,b,b,hard,patch27.png,0.718643188477,23.0,1,female,25,right,example_3,2019_Dec_04_1147
23,1.0,learning,A,a,a,hard,patch13.png,0.967605113983,24.0,1,female,25,right,example_3,2019_Dec_04_1147
24,0.0,learning,A,b,a,hard,patch15.png,0.620096206665,25.0,1,female,25,right,example_3,2019_Dec_04_1147
